iter	Logloss
0	0.6722301629
1	0.6538745428
2	0.634621373
3	0.6169601069
4	0.60037576
5	0.585410608
6	0.5729753219
7	0.5605464385
8	0.5485142092
9	0.5352697575
10	0.5240523774
11	0.5122006362
12	0.5018765445
13	0.494152535
14	0.4841927103
15	0.4768105358
16	0.4682216785
17	0.4602984619
18	0.4545496793
19	0.4474978161
20	0.440693718
21	0.4352737556
22	0.4306045287
23	0.4249614633
24	0.419706581
25	0.4142575962
26	0.409489873
27	0.4035488266
28	0.4001093003
29	0.3964206201
30	0.3930812739
31	0.389325685
32	0.3852414539
33	0.3818785319
34	0.3782409059
35	0.3753578614
36	0.3725473817
37	0.3691732681
38	0.3666731437
39	0.363874189
40	0.3610998136
41	0.35876983
42	0.3561753044
43	0.3537123363
44	0.3510149615
45	0.3490644069
46	0.3467145001
47	0.3444781422
48	0.3424642453
49	0.3407382013
50	0.3385395987
51	0.3367248972
52	0.3347003006
53	0.333138499
54	0.3314569934
55	0.3298138744
56	0.3280629123
57	0.3259248403
58	0.3244940908
59	0.3232252941
60	0.3215077846
61	0.3200830188
62	0.3188452563
63	0.3174504379
64	0.3159832182
65	0.3140871137
66	0.312429949
67	0.310849678
68	0.3093806634
69	0.3084330902
70	0.3068355832
71	0.3054317869
72	0.3046460394
73	0.3033510562
74	0.3015176073
75	0.2999895631
76	0.2985501852
77	0.2976325063
78	0.2964262074
79	0.2955083887
80	0.2940762932
81	0.2930239215
82	0.2914576999
83	0.2899773165
84	0.2886220247
85	0.2873217813
86	0.2857790169
87	0.284557781
88	0.2836149165
89	0.2826325283
90	0.2817706565
91	0.2807286113
92	0.2797906947
93	0.2790439693
94	0.2778738769
95	0.2771400421
96	0.2760665741
97	0.2753547972
98	0.2747533026
99	0.2737650931
100	0.2730530375
101	0.2723464031
102	0.271545016
103	0.2706392764
104	0.2696124822
105	0.2686830385
106	0.2679028451
107	0.2671938338
108	0.2665220131
109	0.2656647358
110	0.2649897436
111	0.2640919627
112	0.2632148203
113	0.2621462405
114	0.2613712969
115	0.2604307569
116	0.2596787911
117	0.2586828183
118	0.2579413567
119	0.2569499599
120	0.2559173543
121	0.2552058952
122	0.2544985437
123	0.2537345345
124	0.2529143227
125	0.2523594655
126	0.2516088056
127	0.2508367026
128	0.249945714
129	0.2492621935
130	0.2486495643
131	0.2481487778
132	0.2476519458
133	0.2470579794
134	0.2464678469
135	0.2458984087
136	0.245065821
137	0.2445085342
138	0.2440119135
139	0.2431410049
140	0.2426672653
141	0.2421601864
142	0.2414699695
143	0.2407613329
144	0.2399259512
145	0.2394523525
146	0.2388900861
147	0.2382047105
148	0.2376833565
149	0.2371577039
150	0.2365763486
151	0.2359866673
152	0.2356330891
153	0.2348863885
154	0.2341284029
155	0.2333807239
156	0.2328860828
157	0.2324020243
158	0.2319684547
159	0.2314969789
160	0.2310460007
161	0.2305881721
162	0.2301165674
163	0.2292864174
164	0.2289550911
165	0.2281439429
166	0.2276711971
167	0.2272130428
168	0.2266746364
169	0.226256171
170	0.2257719901
171	0.2254815497
172	0.2250640083
173	0.2246860826
174	0.2242585722
175	0.2235868496
176	0.2231983924
177	0.2226090703
178	0.2221360955
179	0.221753219
180	0.2211193803
181	0.2208682669
182	0.2203586799
183	0.2198530023
184	0.2193919398
185	0.2187135571
186	0.2181072964
187	0.2174062653
188	0.2170732162
189	0.216696771
190	0.2161161775
191	0.2157136515
192	0.2152690415
193	0.2148158408
194	0.2143102031
195	0.2137556239
196	0.2131794448
197	0.2126744283
198	0.2121342352
199	0.2114613568
200	0.2110903383
201	0.2106680402
202	0.210269107
203	0.2097056378
204	0.2091065726
205	0.2086683504
206	0.2082546877
207	0.2078243366
208	0.207323081
209	0.2069149975
210	0.2063462385
211	0.2059205594
212	0.2056355233
213	0.2052796504
214	0.2050096824
215	0.2045978528
216	0.2042281591
217	0.2037028547
218	0.203347981
219	0.2030310733
220	0.2025845486
221	0.2021519598
222	0.2016732147
223	0.2012457623
224	0.20085947
225	0.2003438117
226	0.2000783412
227	0.1996492628
228	0.1993361836
229	0.1988352251
230	0.1983678321
231	0.1978019376
232	0.1974104333
233	0.1970361505
234	0.1966284406
235	0.196354957
236	0.1958333125
237	0.1955611474
238	0.1951763746
239	0.1949092199
240	0.1945907827
241	0.1938882307
242	0.1934211989
243	0.1931761476
244	0.1928408727
245	0.1923855065
246	0.1920298366
247	0.1917735671
248	0.191390508
249	0.1909356439
250	0.1905494134
251	0.1902743252
252	0.1898843481
253	0.1894945198
254	0.189068371
255	0.1886647305
256	0.1882631792
257	0.1879660084
258	0.1876200562
259	0.1871828814
260	0.1867852053
261	0.1864996194
262	0.1859801473
263	0.1855669341
264	0.1851884845
265	0.1848569521
266	0.1846411293
267	0.1844158294
268	0.1841329743
269	0.1837572611
270	0.1833530701
271	0.1830270055
272	0.182754335
273	0.182455826
274	0.1821747574
275	0.181970025
276	0.181486632
277	0.1812381994
278	0.1809847002
279	0.1805926001
280	0.1802823975
281	0.1799812099
282	0.1796357166
283	0.1794247813
284	0.1791107808
285	0.1788855847
286	0.1786569405
287	0.1782603699
288	0.1779966418
289	0.1776354718
290	0.1773306467
291	0.1768341627
292	0.1764160822
293	0.1761162563
294	0.1758630434
295	0.175659377
296	0.1753521346
297	0.1749307985
298	0.174675755
299	0.1743155392
300	0.1740259435
301	0.1736554012
302	0.1733508715
303	0.1730025228
304	0.172737112
305	0.1723840435
306	0.1719006236
307	0.1714815506
308	0.1710277873
309	0.1707287259
310	0.1704165128
311	0.1701258824
312	0.1698189288
313	0.1695523307
314	0.169246826
315	0.1689342762
316	0.1687111611
317	0.1683684486
318	0.1680019623
319	0.1676662895
320	0.1673276044
321	0.167018467
322	0.1666348985
323	0.1662963236
324	0.1660181345
325	0.1656727881
326	0.16543922
327	0.1651887754
328	0.1649357346
329	0.1646770585
330	0.1644639135
331	0.1641510842
332	0.1639161072
333	0.1636501229
334	0.1633291874
335	0.1629673975
336	0.1626639087
337	0.1623698197
338	0.1621659879
339	0.1618978178
340	0.161598028
341	0.1612302725
342	0.1609669399
343	0.1606186362
344	0.1603085602
345	0.1599877329
346	0.1596264785
347	0.15933375
348	0.1590390316
349	0.1587849298
350	0.158586771
351	0.1583581447
352	0.1580500211
353	0.1576736434
354	0.1573464753
355	0.1571120676
356	0.156872239
357	0.1565645688
358	0.1562401791
359	0.1559841394
360	0.1556709694
361	0.1553790106
362	0.1550806491
363	0.1548409199
364	0.1545595073
365	0.1542743088
366	0.1540048301
367	0.1537363227
368	0.1534421442
369	0.1531528759
370	0.1528528384
371	0.1525405244
372	0.1522327733
373	0.1519257328
374	0.1516697983
375	0.1513406622
376	0.1511756045
377	0.1508825145
378	0.1505115842
379	0.1501827187
380	0.1498721477
381	0.1496449861
382	0.1494067359
383	0.1491093181
384	0.1487588257
385	0.14854407
386	0.1482828959
387	0.1480466498
388	0.1478276309
389	0.1474251449
390	0.1471994029
391	0.1469210774
392	0.1466185289
393	0.1464125723
394	0.1462023688
395	0.1459968669
396	0.1458031389
397	0.1455568356
398	0.145205749
399	0.1450268226
400	0.1447722891
401	0.1445288042
402	0.1443571134
403	0.1440830307
404	0.1437873857
405	0.1435391177
406	0.1432958076
407	0.1430161987
408	0.1427638359
409	0.1425669691
410	0.1422683298
411	0.1419355957
412	0.1417251333
413	0.1414660754
414	0.1412328032
415	0.1409435081
416	0.1406847149
417	0.1404749286
418	0.1401441465
419	0.1398834281
420	0.1396634358
421	0.1395263212
422	0.1392917781
423	0.1390304609
424	0.1388113944
425	0.1386016455
426	0.1383562246
427	0.1380784045
428	0.1378749878
429	0.1376768126
430	0.1374450285
431	0.1372166079
432	0.1369068092
433	0.1366737296
434	0.1364458957
435	0.1362239916
436	0.1359851089
437	0.1357676242
438	0.1355981785
439	0.1353407967
440	0.1351239841
441	0.13494185
442	0.1346480077
443	0.1344301747
444	0.1342040472
445	0.1339782819
446	0.1337248969
447	0.1335715681
448	0.13334868
449	0.1330947613
450	0.1329435778
451	0.1327512949
452	0.132532449
453	0.1323159217
454	0.1320873527
455	0.1318526568
456	0.1316342788
457	0.1313927837
458	0.1311760068
459	0.1309735316
460	0.1307408579
461	0.1305549321
462	0.130303102
463	0.1301274538
464	0.1298944443
465	0.1296738147
466	0.1293867753
467	0.1291828362
468	0.1289282547
469	0.1287051592
470	0.1283777488
471	0.1282006298
472	0.1279719279
473	0.1277686498
474	0.1275834388
475	0.127377112
476	0.1272171828
477	0.1270167616
478	0.1268397927
479	0.1266490471
480	0.1265177369
481	0.1262358684
482	0.1260335281
483	0.1256884998
484	0.1255860809
485	0.1253896264
486	0.125170381
487	0.1249903977
488	0.1248005236
489	0.124545487
490	0.1243381303
491	0.124111181
492	0.1239506139
493	0.1236936974
494	0.1234837149
495	0.1233119504
496	0.1231437536
497	0.1229448904
498	0.1225859335
499	0.1223425525
500	0.1221565803
501	0.1219769007
502	0.1218315762
503	0.1216419914
504	0.1214446972
505	0.1212419842
506	0.1210747135
507	0.1209006594
508	0.1207262843
509	0.1205709243
510	0.1203705882
511	0.1202307214
512	0.1200595533
513	0.1198388674
514	0.1196944118
515	0.1194871959
516	0.1192928885
517	0.1190938897
518	0.1189319616
519	0.118749826
520	0.1185911716
521	0.1184338825
522	0.1181960394
523	0.1180407965
524	0.1178187597
525	0.1176559243
526	0.1174734958
527	0.117293941
528	0.1170749506
529	0.1169063678
530	0.1167289502
531	0.1165469741
532	0.1163216999
533	0.1161563603
534	0.1160403441
535	0.1158772597
536	0.1156841727
537	0.115472423
538	0.1152794895
539	0.1151189693
540	0.1148850948
541	0.1146930894
542	0.1145292879
543	0.1143490563
544	0.1141681077
545	0.1139960773
546	0.1138567455
547	0.1137112121
548	0.1134982892
549	0.1132989727
550	0.113116498
551	0.112974779
552	0.1128182181
553	0.1126696317
554	0.1125267903
555	0.1123324207
556	0.1121297036
557	0.1119650718
558	0.1117894493
559	0.1116324612
560	0.1114779192
561	0.1112993994
562	0.1111931578
563	0.1110788388
564	0.1109384092
565	0.110690065
566	0.1104646839
567	0.110348386
568	0.110183118
569	0.1099820454
570	0.1097453409
571	0.1095841537
572	0.1094089657
573	0.1092732126
574	0.1091486041
575	0.1089631131
576	0.1088516282
577	0.1086668173
578	0.108506963
579	0.108347329
580	0.1082361844
581	0.1081445485
582	0.1079656628
583	0.1078593804
