iter	Passed	Remaining
0	9	46568
1	18	45135
2	27	44977
3	35	44609
4	44	44319
5	53	44858
6	62	44562
7	71	44484
8	80	44558
9	88	44357
10	97	44314
11	106	44248
12	115	44375
13	124	44400
14	135	44975
15	144	45000
16	153	45062
17	162	44984
18	171	44869
19	180	44925
20	189	44884
21	198	44824
22	206	44759
23	216	44850
24	226	45101
25	237	45364
26	245	45301
27	254	45269
28	263	45228
29	273	45247
30	285	45701
31	294	45690
32	303	45673
33	312	45599
34	325	46112
35	333	46003
36	342	45931
37	351	45911
38	360	45862
39	369	45860
40	379	45858
41	387	45799
42	397	45777
43	406	45765
44	414	45637
45	423	45558
46	432	45557
47	441	45552
48	450	45499
49	458	45415
50	467	45411
51	476	45388
52	485	45337
53	494	45260
54	503	45240
55	512	45231
56	521	45240
57	530	45188
58	538	45132
59	547	45078
60	556	45029
61	564	44939
62	573	44958
63	582	44948
64	590	44853
65	599	44814
66	608	44797
67	617	44762
68	626	44764
69	635	44731
70	643	44705
71	652	44676
72	661	44678
73	671	44683
74	680	44682
75	688	44638
76	698	44634
77	706	44602
78	715	44565
79	724	44528
80	733	44524
81	742	44524
82	753	44611
83	766	44878
84	776	44903
85	787	44981
86	798	45094
87	808	45124
88	818	45179
89	834	45519
90	849	45841
91	859	45865
92	869	45875
93	883	46089
94	895	46226
95	906	46296
96	916	46349
97	927	46387
98	939	46506
99	954	46784
100	965	46846
101	975	46838
102	984	46824
103	994	46819
104	1004	46810
105	1013	46811
106	1023	46813
107	1033	46810
108	1043	46801
109	1052	46802
110	1062	46793
111	1071	46784
112	1081	46772
113	1093	46851
114	1102	46839
115	1112	46840
116	1122	46847
117	1131	46817
118	1141	46830
119	1152	46851
120	1160	46797
121	1170	46794
122	1178	46737
123	1187	46705
124	1196	46674
125	1209	46780
126	1218	46739
127	1229	46791
128	1249	47197
129	1268	47506
130	1281	47618
131	1290	47593
132	1305	47781
133	1320	47965
134	1334	48090
135	1346	48162
136	1365	48476
137	1376	48479
138	1387	48511
139	1400	48616
140	1411	48655
141	1420	48603
142	1430	48602
143	1439	48558
144	1449	48523
145	1458	48488
146	1467	48460
147	1476	48419
148	1486	48380
149	1495	48338
150	1503	48288
151	1512	48243
152	1522	48218
153	1531	48179
154	1542	48219
155	1551	48188
156	1566	48334
157	1582	48482
158	1595	48568
159	1608	48646
160	1619	48673
161	1633	48779
162	1648	48914
163	1661	48993
164	1673	49030
165	1681	48980
166	1694	49031
167	1704	49030
168	1714	49002
169	1723	48981
170	1733	48940
171	1741	48896
172	1751	48875
173	1760	48825
174	1771	48840
175	1780	48811
176	1795	48926
177	1809	49015
178	1823	49122
179	1838	49222
180	1851	49287
181	1860	49246
182	1876	49381
183	1894	49596
184	1910	49730
185	1924	49813
186	1937	49866
187	1949	49903
188	1958	49861
189	1968	49835
190	1977	49786
191	1987	49760
192	1996	49714
193	2005	49675
194	2013	49624
195	2024	49617
196	2037	49681
197	2050	49719
198	2060	49700
199	2075	49809
200	2090	49912
201	2102	49949
202	2114	49965
203	2124	49953
204	2139	50032
205	2153	50117
206	2169	50225
207	2181	50253
208	2195	50337
209	2206	50333
210	2221	50421
211	2235	50479
212	2248	50527
213	2256	50461
214	2265	50418
215	2273	50359
216	2282	50308
217	2292	50279
218	2301	50237
219	2310	50198
220	2319	50159
221	2328	50119
222	2337	50081
223	2346	50034
224	2355	49987
225	2364	49951
226	2373	49910
227	2382	49855
228	2391	49816
229	2399	49771
230	2408	49733
231	2420	49745
232	2429	49700
233	2437	49655
234	2446	49614
235	2455	49558
236	2464	49524
237	2473	49493
238	2482	49448
239	2491	49417
240	2500	49377
241	2509	49338
242	2518	49299
243	2527	49262
244	2536	49234
245	2545	49200
246	2555	49167
247	2565	49149
248	2573	49109
249	2583	49078
250	2591	49035
251	2600	48999
252	2610	48979
253	2619	48953
254	2629	48927
255	2637	48883
256	2646	48845
257	2655	48807
258	2664	48782
259	2673	48739
260	2682	48713
261	2691	48680
262	2700	48648
263	2709	48609
264	2718	48571
265	2726	48530
266	2735	48492
267	2744	48455
268	2753	48422
269	2762	48390
270	2771	48356
271	2779	48322
272	2788	48287
273	2797	48252
274	2805	48206
275	2814	48169
276	2823	48136
277	2831	48101
278	2840	48070
279	2850	48048
280	2859	48019
281	2868	47986
282	2877	47963
283	2886	47930
284	2895	47894
285	2904	47870
286	2913	47846
287	2922	47820
288	2936	47860
289	2944	47826
290	2954	47802
291	2963	47781
292	2972	47758
293	2982	47737
294	2990	47702
295	2999	47673
296	3008	47641
297	3017	47614
298	3026	47591
299	3036	47569
300	3045	47543
301	3054	47512
302	3062	47476
303	3071	47442
304	3079	47403
305	3088	47372
306	3097	47350
307	3105	47311
308	3114	47288
309	3123	47254
