NO,ê\çûîNåéì˙,ê\çûéûä‘,Åyî}ëÃÉRÅ[ÉhÅzëÂçÄñ⁄,Åyî}ëÃÉRÅ[ÉhÅzè⁄ç◊çÄñ⁄,éÛïtéûä‘ë—ãÊï™,éÛïtå`ë‘ãÊï™,êVãKéûé©ìÆå_ñÒã@ìXî‘,éÊàµìXî‘,ä«óùìXî‘,ê´ï ,îNóÓ,ê∂îNåéì˙,ÇiÇhÇrèZèäÉRÅ[Éh,ì∆ä˘ãÊï™,êVêEéÌãÊï™,ÅyêVêEéÌãÊï™ÅzëÂçÄñ⁄,ÅyêVêEéÌãÊï™Åzè⁄ç◊çÄñ⁄,åŸópå`ë‘ãÊï™,èAã∆å`ë‘ãÊï™,âÔé–ãKñÕãÊï™,çáåvîNé˚,ç›é–åéêî,èZãèãÊï™,ãèèZåéêî,â∆í¿ïâíSäz,â∆ë∞ç\ê¨ãÊï™,ï€åØêEéÌãÊï™,é˚ì¸èÿñæóLñ≥,ì∆êgì‡ñÛ,ìØãèãÊï™,ï}ó{â∆ë∞êî,ï}ó{â∆ë∞éqãüêî,èäìæèÿñæãÊï™,ñºã`ãÊï™,éñã∆å`ë‘ãÊï™,éñã∆èäóLñ≥,ë›ïtîNåéì˙,ÇPÇQÉñåééñåÃ
1000001,2015/3/7,53518,3,24,1,502,0,5,5,1,55,1960/4/10,45201,2,209,2,209,1,1,9,2700000,10,8,30,0,2,4,0,0,1,2,0,0,3,9,0,2015/10/22,0
1000002,2015/4/7,171708,3,9,0,1801,0,5,5,1,23,1992/4/7,46505,2,1340,13,1340,4,1,5,2140000,21,5,1,20000,2,1,0,0,1,3,1,0,0,0,0,2015/4/9,0
1000003,2015/4/9,154859,3,4,0,1701,0,5,5,1,36,1979/1/14,45383,2,1340,13,1340,2,1,4,4956000,144,8,82,0,2,1,1,0,1,2,0,1,3,0,0,2015/4/10,0
1000005,2015/4/13,131704,1,99,0,101,434,434,5,1,22,1993/4/13,46215,1,506,5,506,2,1,6,2300000,28,4,84,1000,4,1,0,0,1,0,0,0,0,0,0,2015/4/14,0
1000007,2015/4/16,203053,3,9,0,502,0,5,5,1,36,1979/3/15,46201,1,940,9,940,2,1,2,4500000,0,4,1,55000,5,1,0,0,2,0,0,0,0,0,0,2015/4/17,0
1000008,2015/4/20,112824,3,2,0,1701,0,5,5,2,28,1986/8/30,46201,1,540,5,540,4,1,4,1300000,142,4,72,57000,4,1,0,0,1,0,0,0,0,0,0,2015/4/21,0
1000009,2015/4/22,115007,5,99,0,1,2548,2548,5,2,35,1980/4/5,45208,1,631,6,631,2,1,7,1800000,36,8,420,0,4,3,0,0,1,0,0,0,3,0,0,2015/4/22,0
1000010,2015/4/22,151524,5,99,0,1,3191,3191,5,2,44,1970/10/30,46201,1,140,1,140,4,1,4,1000000,13,4,54,0,5,3,0,0,2,0,0,0,0,0,0,2015/4/22,0
1000011,2015/4/25,92757,5,99,1,1,1265,1265,5,1,33,1982/3/5,45202,1,640,6,640,5,2,4,1300000,14,4,12,0,5,1,0,0,2,0,0,0,0,0,0,2015/4/25,0
1000012,2015/4/19,163306,3,2,3,1801,0,5,5,1,54,1960/7/27,46201,2,440,4,440,2,1,4,5600000,60,2,139,75000,2,1,0,0,1,2,0,0,1,0,0,2015/4/27,0
